Short EMA,Long EMA,Order Ratio,Final Balance
10,48,0.8333333333333333,987.282587551709
10,48,1.0,987.282587551709
10,48,1.1666666666666665,987.282587551709
10,48,1.3333333333333333,987.282587551709
10,48,1.5,987.282587551709
10,48,1.6666666666666665,987.282587551709
10,48,1.8333333333333333,987.282587551709
10,48,2.0,987.282587551709
10,49,0.5,987.282587551709
10,49,0.6666666666666666,987.282587551709
10,49,0.8333333333333333,987.282587551709
10,49,1.0,987.282587551709
10,49,1.1666666666666665,987.282587551709
10,49,1.3333333333333333,987.282587551709
10,49,1.5,987.282587551709
10,49,1.6666666666666665,987.282587551709
10,49,1.8333333333333333,987.282587551709
10,49,2.0,987.282587551709
10,45,0.5,987.282587551709
10,45,0.6666666666666666,987.282587551709
10,45,0.8333333333333333,987.282587551709
10,45,1.0,987.282587551709
10,45,1.1666666666666665,987.282587551709
10,45,1.3333333333333333,987.282587551709
10,45,1.5,987.282587551709
10,45,1.6666666666666665,987.282587551709
10,45,1.8333333333333333,987.282587551709
10,45,2.0,987.282587551709
10,46,0.5,987.282587551709
10,46,0.6666666666666666,987.282587551709
10,46,0.8333333333333333,987.282587551709
10,46,1.0,987.282587551709
10,46,1.1666666666666665,987.282587551709
10,46,1.3333333333333333,987.282587551709
10,46,1.5,987.282587551709
10,46,1.6666666666666665,987.282587551709
10,46,1.8333333333333333,987.282587551709
10,46,2.0,987.282587551709
10,47,0.5,987.282587551709
10,47,0.6666666666666666,987.282587551709
10,47,0.8333333333333333,987.282587551709
10,47,1.0,987.282587551709
10,47,1.1666666666666665,987.282587551709
10,47,1.3333333333333333,987.282587551709
10,47,1.5,987.282587551709
10,47,1.6666666666666665,987.282587551709
9,49,0.8333333333333333,987.282587551709
9,49,1.0,987.282587551709
10,47,1.8333333333333333,987.282587551709
9,49,1.1666666666666665,987.282587551709
